variable,group,mean,median,std,missing_rate,level,proportion
admission_location,synthetic,,,,0.0,Physician_Referral,0.206
admission_location,synthetic,,,,0.0,Transfer_From_Hospital,0.124
admission_location,synthetic,,,,0.0,Walk-In/Self_Referral,0.023
admission_location,synthetic,,,,0.0,Procedure_Site,0.019
admission_location,synthetic,,,,0.0,Clinic_Referral,0.017
admission_location,synthetic,,,,0.0,Pacu,0.01
admission_location,synthetic,,,,0.0,Transfer_From_Skilled_Nursing_Facility,0.002
admission_location,synthetic,,,,0.0,Ambulatory_Surgery_Transfer,0.001
admission_location,synthetic,,,,0.0,Information_Not_Available,0.001
emergency_admission,source,0.12891182378610513,0.0,0.3351034814762451,0.0,,
emergency_admission,synthetic,0.107,0.0,0.3092679204939411,0.0,,
weekday_admission,source,0.7133407217565977,1.0,0.45220255732432446,0.0,,
weekday_admission,synthetic,0.717,1.0,0.4506818324651152,0.0,,
hour_group,source,,,,0.0,Evening,0.3450924707349172
hour_group,source,,,,0.0,Afternoon,0.2571240562443721
hour_group,source,,,,0.0,Night,0.22743644801551569
hour_group,source,,,,0.0,Morning,0.170347025005195
hour_group,synthetic,,,,0.0,Evening,0.358
hour_group,synthetic,,,,0.0,Afternoon,0.255
hour_group,synthetic,,,,0.0,Night,0.202
hour_group,synthetic,,,,0.0,Morning,0.185
icu_admission,source,0.18912516450786174,0.0,0.3916093703089053,0.0,,
icu_admission,synthetic,0.233,0.0,0.42295376802895357,0.0,,
primary_disease_class,source,,,,0.0,Other,0.1987047170464778
primary_disease_class,source,,,,0.0,Cardiovascular,0.17991272425019048
primary_disease_class,source,,,,0.0,Injury_or_poisoning,0.14108886887857588
primary_disease_class,source,,,,0.0,Gastrointestinal_or_liver,0.10671884740597078
primary_disease_class,source,,,,0.0,Psychiatric,0.07043014476691833
primary_disease_class,source,,,,0.0,Neoplasm,0.06856687677495324
primary_disease_class,source,,,,0.0,Musculoskeletal,0.05046754865969384
primary_disease_class,source,,,,0.0,Respiratory,0.04152524762762347
primary_disease_class,source,,,,0.0,Kidney_or_urinary,0.03900394818868186
primary_disease_class,source,,,,0.0,Infectious,0.037106046962665375
primary_disease_class,source,,,,0.0,Neurologic,0.03010320703747316
primary_disease_class,source,,,,0.0,Endocrine_or_metabolic,0.029188889658516314
primary_disease_class,source,,,,0.0,Hematologic,0.007182932742259472
primary_disease_class,synthetic,,,,0.0,Cardiovascular,0.225
primary_disease_class,synthetic,,,,0.0,Other,0.181
primary_disease_class,synthetic,,,,0.0,Gastrointestinal_or_liver,0.134
primary_disease_class,synthetic,,,,0.0,Injury_or_poisoning,0.127
primary_disease_class,synthetic,,,,0.0,Neoplasm,0.065
primary_disease_class,synthetic,,,,0.0,Infectious,0.055
primary_disease_class,synthetic,,,,0.0,Musculoskeletal,0.05
primary_disease_class,synthetic,,,,0.0,Kidney_or_urinary,0.047
primary_disease_class,synthetic,,,,0.0,Respiratory,0.047
primary_disease_class,synthetic,,,,0.0,Neurologic,0.037
primary_disease_class,synthetic,,,,0.0,Endocrine_or_metabolic,0.032
comorbidity_count,source,1.1950405208838402,1.0,1.310957775974306,0.0,,
comorbidity_count,synthetic,1.417,1.0,1.3714926146326827,0.0,,
has_diabetes,source,0.17651866731315372,0.0,0.38126215949960324,0.0,,
has_diabetes,synthetic,0.206,0.0,0.4046328307586122,0.0,,
has_hypertension,source,0.43034563967583295,0.0,0.49512621436869625,0.0,,
has_hypertension,synthetic,0.498,0.0,0.5002461856388775,0.0,,
has_ckd,source,0.08318210154464224,0.0,0.2761582296015678,0.0,,
has_ckd,synthetic,0.107,0.0,0.3092679204939411,0.0,,
has_heart_failure,source,0.08554408810694743,0.0,0.2796906129039419,0.0,,
has_heart_failure,synthetic,0.107,0.0,0.3092679204939411,0.0,,
has_copd,source,0.06092678534321535,0.0,0.2391967986403784,0.0,,
has_copd,synthetic,0.079,0.0,0.2698737331268678,0.0,,
has_liver_disease,source,0.05061300824270971,0.0,0.21920689878797514,0.0,,
has_liver_disease,synthetic,0.073,0.0,0.2602666685127751,0.0,,
has_cancer,source,0.09274087414282746,0.0,0.29006996952146175,0.0,,
has_cancer,synthetic,0.104,0.0,0.305413289293831,0.0,,
has_sepsis,source,0.030858211539793585,0.0,0.17293406104631565,0.0,,
has_sepsis,synthetic,0.035,0.0,0.1838717183495298,0.0,,
has_anemia,source,0.18431114497471773,0.0,0.3877390722843244,0.0,,
has_anemia,synthetic,0.208,0.0,0.40607991935196813,0.0,,
albumin,source,3.5061044093178033,3.6,0.6538368632696319,0.8667867285447115,,
albumin,synthetic,3.5637262072636138,3.689056954361789,0.622994299339761,0.847,,
alt,source,111.67378191705473,26.0,487.13785138554016,0.7783680820114982,,
alt,synthetic,141.58056334019923,59.7288765377178,349.18752072230876,0.754,,
ast,source,133.66666666666666,30.0,659.0282612899191,0.7799819907182933,,
ast,synthetic,159.35282677175726,64.83539599603552,493.279956648445,0.757,,
bicarbonate,source,24.86763779991747,25.0,3.8890015021435804,0.41251645078617444,,
bicarbonate,synthetic,24.75381969486972,25.02898793337097,4.053741246411936,0.194,,
blood_urea_nitrogen,source,19.6553430117369,15.0,15.82337016963097,0.40216804045161736,,
blood_urea_nitrogen,synthetic,18.870423550689452,14.87891822039229,15.170620000889832,0.184,,
chloride,source,103.55055166783299,104.0,4.953498740020873,0.4061093024866662,,
chloride,synthetic,103.70028299327022,103.99399955379599,4.813017382668736,0.187,,
creatinine,source,1.1416091005945628,0.9,1.213789019937456,0.39536607328392326,,
creatinine,synthetic,1.088500434503412,0.8916232220208464,1.069513597055519,0.178,,
glucose,source,127.77447931944852,109.0,74.64650694076207,0.40967652559395995,,
glucose,synthetic,126.18469795021888,108.38585375540382,77.89233624212753,0.194,,
hemoglobin,source,11.809712433197978,11.9,1.9968596426463683,0.37397658793378125,,
hemoglobin,synthetic,11.843241205946388,12.021354630910517,2.014384756268657,0.173,,
inr,source,1.3690470825887653,1.2,0.7277979445579038,0.6433885156195885,,
inr,synthetic,1.351099847778353,1.1688665999619041,0.6101472708184302,0.558,,
lactate,source,2.0848640826286817,1.6,1.7758012755461787,0.8779455565560712,,
lactate,synthetic,2.120835820433314,1.6136549203623374,1.671742989436345,0.844,,
platelet_count,source,227.74277443923484,216.0,96.27884768450792,0.37065872411165757,,
platelet_count,synthetic,226.78653715160956,218.46975843982852,89.74586176607028,0.165,,
potassium,source,4.093799831441864,4.1,0.5584146421761526,0.4000346332340514,,
potassium,synthetic,4.069664494011442,4.037372934117544,0.5673274967233445,0.182,,
sodium,source,138.90758526986508,139.0,3.980086372039299,0.4086306019256078,,
sodium,synthetic,138.9140478127776,139.172465454347,3.9708003356417456,0.191,,
white_blood_cell_count,source,9.75834329784633,8.6,6.516862395910705,0.37669876013022097,,
white_blood_cell_count,synthetic,9.751979677906622,8.433812056208794,5.699022305904344,0.173,,
in_hospital_mortality,source,0.021652697928932603,0.0,0.14554726151822295,0.0,,
in_hospital_mortality,synthetic,0.022,0.0,0.14675672910479282,0.0,,
length_of_stay_days,source,4.083625233774329,2.4756944444444446,5.498977570209526,0.0,,
length_of_stay_days,synthetic,4.5166930133426355,2.69724879762789,5.628921781653109,0.0,,
log1p_length_of_stay,source,1.2963948146056237,1.2457942991792748,0.7557376650801296,0.0,,
log1p_length_of_stay,synthetic,1.4045183179496157,1.3075889718634714,0.7309779180592523,0.0,,
