synthetic_patient_id,split
SYN0197,train
SYN0198,train
SYN0199,train
SYN0200,train
SYN0201,validation
SYN0202,test
SYN0203,train
SYN0204,train
SYN0205,test
SYN0206,train
SYN0207,train
SYN0208,train
SYN0209,train
SYN0210,test
SYN0211,train
SYN0212,train
SYN0213,test
SYN0214,validation
SYN0215,test
SYN0216,train
SYN0217,train
SYN0218,train
SYN0219,train
SYN0220,train
SYN0221,train
SYN0222,test
SYN0223,validation
SYN0224,train
SYN0225,train
SYN0226,test
SYN0227,train
SYN0228,train
SYN0229,train
SYN0230,train
SYN0231,train
SYN0232,validation
SYN0233,train
SYN0234,train
SYN0235,train
SYN0236,validation
SYN0237,train
SYN0238,test
SYN0239,train
SYN0240,test
SYN0241,train
SYN0242,train
SYN0243,train
SYN0244,train
SYN0245,train
SYN0246,validation
SYN0247,test
SYN0248,train
SYN0249,test
SYN0250,train
SYN0251,train
SYN0252,train
SYN0253,train
SYN0254,train
SYN0255,train
SYN0256,train
SYN0257,train
SYN0258,train
SYN0259,test
SYN0260,train
SYN0261,train
SYN0262,validation
SYN0263,validation
SYN0264,train
SYN0265,test
SYN0266,train
SYN0267,train
SYN0268,train
SYN0269,train
SYN0270,validation
SYN0271,validation
SYN0272,train
SYN0273,train
SYN0274,validation
SYN0275,train
SYN0276,validation
SYN0277,validation
SYN0278,validation
SYN0279,train
SYN0280,train
SYN0281,validation
SYN0282,test
SYN0283,train
SYN0284,train
SYN0285,train
SYN0286,validation
SYN0287,train
SYN0288,train
SYN0289,train
SYN0290,train
SYN0291,train
SYN0292,train
SYN0293,validation
SYN0294,test
SYN0295,validation
SYN0296,test
SYN0297,validation
SYN0298,train
SYN0299,train
SYN0300,train
SYN0301,train
SYN0302,train
SYN0303,train
SYN0304,validation
SYN0305,train
SYN0306,train
SYN0307,validation
SYN0308,train
SYN0309,validation
SYN0310,train
SYN0311,train
SYN0312,train
SYN0313,train
SYN0314,train
SYN0315,validation
SYN0316,test
SYN0317,train
SYN0318,train
SYN0319,test
SYN0320,train
SYN0321,train
SYN0322,test
SYN0323,train
SYN0324,train
SYN0325,validation
SYN0326,train
SYN0327,train
SYN0328,train
SYN0329,train
SYN0330,train
SYN0331,validation
SYN0332,train
SYN0333,train
SYN0334,train
SYN0335,train
SYN0336,train
SYN0337,train
SYN0338,train
SYN0339,train
SYN0340,train
SYN0341,train
SYN0342,train
SYN0343,train
SYN0344,train
SYN0345,train
SYN0346,validation
SYN0347,train
SYN0348,train
SYN0349,train
SYN0350,train
SYN0351,train
SYN0352,train
SYN0353,validation
SYN0354,validation
SYN0355,train
SYN0356,train
SYN0357,train
SYN0358,train
SYN0359,test
SYN0360,train
SYN0361,train
SYN0362,train
SYN0363,train
SYN0364,train
SYN0365,validation
SYN0366,train
SYN0367,train
SYN0368,train
SYN0369,train
SYN0370,test
SYN0371,test
SYN0372,validation
SYN0373,train
SYN0374,train
SYN0375,validation
SYN0376,validation
SYN0377,train
SYN0378,train
SYN0379,train
SYN0380,test
SYN0381,validation
SYN0382,train
SYN0383,train
SYN0384,train
SYN0385,train
SYN0386,train
SYN0387,test
SYN0388,test
SYN0389,validation
SYN0390,test
SYN0391,train
SYN0392,validation
SYN0393,train
SYN0394,train
SYN0395,train
SYN0396,test
SYN0397,train
SYN0398,test
SYN0399,validation
SYN0400,train
SYN0401,train
SYN0402,train
SYN0403,train
SYN0404,train
SYN0405,train
SYN0406,validation
SYN0407,train
SYN0408,validation
SYN0409,train
SYN0410,train
SYN0411,validation
SYN0412,train
SYN0413,train
SYN0414,train
SYN0415,train
SYN0416,train
SYN0417,train
SYN0418,train
SYN0419,train
SYN0420,train
SYN0421,train
SYN0422,validation
SYN0423,train
SYN0424,validation
SYN0425,train
SYN0426,train
SYN0427,validation
SYN0428,train
SYN0429,validation
SYN0430,train
SYN0431,validation
SYN0432,test
SYN0433,train
SYN0434,train
SYN0435,train
SYN0436,test
SYN0437,validation
SYN0438,test
SYN0439,train
SYN0440,train
SYN0441,train
SYN0442,test
SYN0443,test
SYN0444,train
SYN0445,train
SYN0446,train
SYN0447,train
SYN0448,train
SYN0449,test
SYN0450,train
SYN0451,train
SYN0452,validation
SYN0453,train
SYN0454,train
SYN0455,train
SYN0456,train
SYN0457,validation
SYN0458,test
SYN0459,validation
SYN0460,test
SYN0461,train
SYN0462,train
SYN0463,train
SYN0464,train
SYN0465,train
SYN0466,train
SYN0467,test
SYN0468,test
SYN0469,train
SYN0470,train
SYN0471,train
SYN0472,train
SYN0473,train
SYN0474,train
SYN0475,validation
SYN0476,train
SYN0477,train
SYN0478,validation
SYN0479,train
SYN0480,train
SYN0481,train
SYN0482,test
SYN0483,train
SYN0484,train
SYN0485,train
SYN0486,train
SYN0487,train
SYN0488,train
SYN0489,train
SYN0490,test
SYN0491,train
SYN0492,train
SYN0493,train
SYN0494,train
SYN0495,train
SYN0496,train
SYN0497,train
SYN0498,train
SYN0499,test
SYN0500,validation
SYN0501,train
SYN0502,validation
SYN0503,train
SYN0504,train
SYN0505,train
SYN0506,train
SYN0507,validation
SYN0508,train
SYN0509,train
SYN0510,validation
SYN0511,train
SYN0512,train
SYN0513,test
SYN0514,train
SYN0515,train
SYN0516,test
SYN0517,train
SYN0518,train
SYN0519,train
SYN0520,test
SYN0521,validation
SYN0522,validation
SYN0523,test
SYN0524,train
SYN0525,train
SYN0526,train
SYN0527,train
SYN0528,train
SYN0529,train
SYN0530,train
SYN0531,train
SYN0532,train
SYN0533,test
SYN0534,train
SYN0535,train
SYN0536,validation
SYN0537,train
SYN0538,train
SYN0539,train
SYN0540,train
SYN0541,train
SYN0542,test
SYN0543,train
SYN0544,test
SYN0545,train
SYN0546,train
SYN0547,train
SYN0548,train
SYN0549,train
SYN0550,train
SYN0551,train
SYN0552,train
SYN0553,train
SYN0554,validation
SYN0555,train
SYN0556,train
SYN0557,test
SYN0558,test
SYN0559,test
SYN0560,validation
SYN0561,train
SYN0562,train
SYN0563,train
SYN0564,test
SYN0565,train
SYN0566,validation
SYN0567,train
SYN0568,test
SYN0569,train
SYN0570,test
SYN0571,train
SYN0572,train
SYN0573,train
SYN0574,train
SYN0575,train
SYN0576,train
SYN0577,train
SYN0578,train
SYN0579,train
SYN0580,train
SYN0581,train
SYN0582,train
SYN0583,train
SYN0584,train
SYN0585,train
SYN0586,train
SYN0587,train
SYN0588,train
SYN0589,train
SYN0590,train
SYN0591,train
SYN0592,train
SYN0593,train
SYN0594,test
SYN0595,train
SYN0596,test
SYN0597,train
SYN0598,test
SYN0599,validation
SYN0600,train
SYN0601,train
SYN0602,validation
SYN0603,train
SYN0604,train
SYN0605,train
SYN0606,train
SYN0607,train
SYN0608,test
SYN0609,train
SYN0610,train
SYN0611,train
SYN0612,train
SYN0613,test
SYN0614,train
SYN0615,train
SYN0616,train
SYN0617,train
SYN0618,train
SYN0619,train
SYN0620,train
SYN0621,train
SYN0622,train
SYN0623,train
SYN0624,test
SYN0625,train
SYN0626,validation
SYN0627,train
SYN0628,train
SYN0629,test
SYN0630,train
SYN0631,train
SYN0632,train
SYN0633,validation
SYN0634,train
SYN0635,validation
SYN0636,train
SYN0637,train
SYN0638,train
SYN0639,train
SYN0640,train
SYN0641,train
SYN0642,validation
SYN0643,train
SYN0644,test
SYN0645,train
SYN0646,train
SYN0647,train
SYN0648,train
SYN0649,train
SYN0650,train
SYN0651,test
SYN0652,train
SYN0653,train
SYN0654,validation
SYN0655,train
SYN0656,train
SYN0657,train
SYN0658,train
SYN0659,train
SYN0660,train
SYN0661,train
SYN0662,train
SYN0663,train
SYN0664,validation
SYN0665,train
SYN0666,train
SYN0667,train
SYN0668,train
SYN0669,train
SYN0670,train
SYN0671,test
SYN0672,train
SYN0673,validation
SYN0674,test
SYN0675,train
SYN0676,train
SYN0677,train
SYN0678,train
SYN0679,train
SYN0680,test
SYN0681,train
SYN0682,validation
SYN0683,train
SYN0684,train
SYN0685,train
SYN0686,validation
SYN0687,test
SYN0688,train
SYN0689,test
SYN0690,train
SYN0691,train
SYN0692,train
SYN0693,train
SYN0694,validation
SYN0695,train
SYN0696,train
SYN0697,validation
SYN0698,train
SYN0699,train
SYN0700,train
SYN0701,validation
SYN0702,train
SYN0703,train
SYN0704,train
SYN0705,train
SYN0706,train
SYN0707,train
SYN0708,train
SYN0709,train
SYN0710,train
SYN0711,test
SYN0712,test
SYN0713,test
SYN0714,train
SYN0715,train
SYN0716,train
SYN0717,validation
SYN0718,train
SYN0719,train
SYN0720,validation
SYN0721,train
SYN0722,train
SYN0723,train
SYN0724,test
SYN0725,validation
SYN0726,train
SYN0727,train
SYN0728,train
SYN0729,validation
SYN0730,train
SYN0731,train
SYN0732,train
SYN0733,train
SYN0734,train
SYN0735,train
SYN0736,train
SYN0737,train
SYN0738,test
SYN0739,test
SYN0740,train
SYN0741,train
SYN0742,train
SYN0743,test
SYN0744,train
SYN0745,train
SYN0746,test
SYN0747,train
SYN0748,train
SYN0749,test
SYN0750,train
SYN0751,train
SYN0752,test
SYN0753,train
SYN0754,train
SYN0755,train
SYN0756,validation
SYN0757,train
SYN0758,test
SYN0759,train
SYN0760,train
SYN0761,train
SYN0762,train
SYN0763,train
SYN0764,validation
SYN0765,validation
SYN0766,train
SYN0767,validation
SYN0768,train
SYN0769,test
SYN0770,train
SYN0771,train
SYN0772,train
SYN0773,train
SYN0774,train
SYN0775,validation
SYN0776,train
SYN0777,validation
SYN0778,train
SYN0779,train
SYN0780,test
SYN0781,validation
SYN0782,train
SYN0783,validation
SYN0784,test
SYN0785,test
SYN0786,test
SYN0787,train
SYN0788,train
SYN0789,train
SYN0790,train
SYN0791,test
SYN0792,train
SYN0793,test
SYN0794,train
SYN0795,train
SYN0796,train
SYN0797,train
SYN0798,train
SYN0799,validation
SYN0800,train
SYN0801,train
SYN0802,test
SYN0803,train
SYN0804,test
SYN0805,test
SYN0806,train
SYN0807,train
SYN0808,train
SYN0809,train
SYN0810,train
SYN0811,train
SYN0812,train
SYN0813,test
SYN0814,train
SYN0815,train
SYN0816,train
SYN0817,test
SYN0818,validation
SYN0819,test
SYN0820,test
SYN0821,train
SYN0822,train
SYN0823,validation
SYN0824,train
SYN0825,test
SYN0826,train
SYN0827,train
SYN0828,train
SYN0829,train
SYN0830,train
SYN0831,train
SYN0832,train
SYN0833,test
SYN0834,train
SYN0835,test
SYN0836,train
SYN0837,train
SYN0838,train
SYN0839,train
SYN0840,train
SYN0841,validation
SYN0842,train
SYN0843,train
SYN0844,validation
SYN0845,train
SYN0846,train
SYN0847,validation
SYN0848,train
SYN0849,test
SYN0850,validation
SYN0851,train
SYN0852,train
SYN0853,test
SYN0854,train
SYN0855,train
SYN0856,train
SYN0857,test
SYN0858,train
SYN0859,train
SYN0860,train
SYN0861,test
SYN0862,train
SYN0863,test
SYN0864,validation
SYN0865,train
SYN0866,train
SYN0867,train
SYN0868,validation
SYN0869,train
SYN0870,validation
SYN0871,train
SYN0872,train
SYN0873,validation
SYN0874,train
SYN0875,train
SYN0876,train
SYN0877,train
SYN0878,train
SYN0879,validation
SYN0880,train
SYN0881,train
SYN0882,train
SYN0883,train
SYN0884,train
SYN0885,train
SYN0886,train
SYN0887,test
SYN0888,validation
SYN0889,validation
SYN0890,test
SYN0891,validation
SYN0892,train
SYN0893,train
SYN0894,train
SYN0895,train
SYN0896,validation
SYN0897,validation
SYN0898,train
SYN0899,train
SYN0900,train
SYN0901,test
SYN0902,validation
SYN0903,train
SYN0904,test
SYN0905,test
SYN0906,train
SYN0907,train
SYN0908,train
SYN0909,validation
SYN0910,train
SYN0911,validation
SYN0912,train
SYN0913,train
SYN0914,train
SYN0915,train
SYN0916,test
SYN0917,validation
SYN0918,validation
SYN0919,train
SYN0920,train
SYN0921,validation
SYN0922,train
SYN0923,validation
SYN0924,test
SYN0925,train
SYN0926,test
SYN0927,validation
SYN0928,validation
SYN0929,validation
SYN0930,train
SYN0931,train
SYN0932,train
SYN0933,test
SYN0934,validation
SYN0935,test
SYN0936,train
SYN0937,train
SYN0938,train
SYN0939,train
SYN0940,train
SYN0941,train
SYN0942,train
SYN0943,validation
SYN0944,validation
SYN0945,train
SYN0946,train
SYN0947,test
SYN0948,train
SYN0949,train
SYN0950,train
SYN0951,validation
SYN0952,test
SYN0953,validation
SYN0954,train
SYN0955,validation
SYN0956,train
SYN0957,train
SYN0958,train
SYN0959,train
SYN0960,validation
SYN0961,train
SYN0962,train
SYN0963,validation
SYN0964,validation
SYN0965,train
SYN0966,train
SYN0967,train
SYN0968,train
SYN0969,train
SYN0970,train
SYN0971,validation
SYN0972,train
SYN0973,train
SYN0974,train
SYN0975,train
SYN0976,test
SYN0977,train
SYN0978,train
SYN0979,train
SYN0980,train
SYN0981,test
SYN0982,test
SYN0983,train
SYN0984,test
SYN0985,train
SYN0986,train
SYN0987,train
SYN0988,test
SYN0989,train
SYN0990,train
SYN0991,validation
SYN0992,train
SYN0993,train
SYN0994,validation
SYN0995,train
SYN0996,train
SYN0997,train
SYN0998,train
SYN0999,validation
SYN1000,train
