requested_domain,requested_variable,source_table,exact_source_column,itemid_or_code,official_label,unit,included,reason_if_excluded
laboratory_chart,platelet_count_first,labevents,"valuenum, charttime, itemid",51265,Platelet Count,K/uL,True,
laboratory_chart,sodium_first,labevents,"valuenum, charttime, itemid",50983,Sodium,mEq/L,True,
laboratory_chart,bun_first,labevents,"valuenum, charttime, itemid",51006,Urea Nitrogen,mg/dL,True,
laboratory_chart,wbc_first,labevents,"valuenum, charttime, itemid",51301,White Blood Cells,K/uL,True,
laboratory_chart,hemoglobin_first,labevents,"valuenum, charttime, itemid",51222,Hemoglobin,g/dL,True,
laboratory_chart,hematocrit_first,labevents,"valuenum, charttime, itemid",51221,Hematocrit,%,True,
laboratory_chart,potassium_first,labevents,"valuenum, charttime, itemid",50971,Potassium,mEq/L,True,
laboratory_chart,chloride_first,labevents,"valuenum, charttime, itemid",50902,Chloride,mEq/L,True,
laboratory_chart,glucose_first,labevents,"valuenum, charttime, itemid",50931,Glucose,mg/dL,True,
laboratory_chart,albumin_first,labevents,"valuenum, charttime, itemid",50862,Albumin,g/dL,True,
laboratory_chart,bilirubin_first,labevents,"valuenum, charttime, itemid",50885,"Bilirubin, Total",mg/dL,True,
laboratory_chart,inr_first,labevents,"valuenum, charttime, itemid",51237,INR(PT),ratio,True,
services_interventions,gcs_motor_first,chartevents,"valuenum, itemid",223901,GCS - Motor Response,,True,
services_interventions,gcs_verbal_first,chartevents,"valuenum, itemid",223900,GCS - Verbal Response,,True,
services_interventions,gcs_eyes_first,chartevents,"valuenum, itemid",220739,GCS - Eye Opening,,True,
services_interventions,gcs_total_first,chartevents,"valuenum, itemid",223901/223900/220739,Total GCS,,True,
services_interventions,urine_output_24h,chartevents,"valuenum, itemid",226559,Foley,mL,True,
services_interventions,current_service,services,curr_service,,Current service,,True,
services_interventions,previous_service,services,prev_service,,Previous service,,True,
services_interventions,surgery_indicator,services/procedures_icd,"curr_service, icd_code",,Surgical service/procedure,,True,
services_interventions,mechanical_ventilation_indicator,chartevents,itemid,223848/223849/229314,Ventilator Type/Mode,,True,
services_interventions,vasopressor_indicator,inputevents,itemid,221906/221289/221749/222315,Norepinephrine/Epinephrine/Phenylephrine/Vasopressin,,True,
services_interventions,icu_admission_indicator,icustays,stay_id,,Any ICU stay,,True,
services_interventions,procedure_count,procedures_icd,hadm_id,,Number of procedures,,True,
services_interventions,service_transfer_count,services,transfertime,,Number of service transfers,,True,
